Date,SBI,BANKBARODA,ONGC,BPCL,PFC,RECL,INFY,HCLTECH,M&M,VED
01-01-2018,306.75,161.35,192,508.75,124,159.1,1032.15,876.9,745.5,324.6
02-01-2018,303,157.9,196.4,499.6,123.4,157.45,1028.3,894,753,327.05
03-01-2018,302.8,157.8,193.65,494.35,123.85,157.9,1022,896,753.7,332.25
04-01-2018,309.25,164.4,198.75,491.5,125.3,162.35,1015,893.15,755.75,341.5
05-01-2018,307.25,161.9,198,488.45,125.1,161.75,1014.25,899.5,755.6,338.85
08-01-2018,306.05,161.7,197.05,496.95,126.7,163.95,1035.2,896.15,760,340.2
09-01-2018,303.9,164.25,196.65,496,126.35,163.05,1039,893.7,761.85,338.5
10-01-2018,301.05,162.45,198,493.5,125,162.2,1053,915.9,760.3,334.8
11-01-2018,302.15,163.1,197.55,491.55,128,162.5,1076.5,914,764.35,334.6
12-01-2018,302.5,162.35,200.05,489.6,126.2,161.2,1078.65,926.75,766.85,338.8
15-01-2018,302.4,164.5,196.65,487.3,124.5,160.2,1081,909.85,758.35,338
16-01-2018,297.2,157.1,197.25,479,120.9,154.3,1125,949.3,748.35,331.15
17-01-2018,308.1,165.4,195.3,479.9,121.9,155.1,1148,955,741.65,332.9
18-01-2018,304.8,162.7,194.75,470.1,119.15,152.9,1152,957.25,759.3,324.9
19-01-2018,308.8,166,194.1,477.05,120.4,156.25,1145.9,958.3,765.65,332.45
22-01-2018,306.3,164.4,200.95,469.6,120.15,156,1148.1,972,759.05,327.9
23-01-2018,318.55,173.25,207.65,480.55,120.9,158,1176,994.9,769.75,344
24-01-2018,330.45,178.05,210.95,481.7,121.2,159.6,1182.85,1020,756.5,337.85
25-01-2018,311.9,166.9,207.75,480.75,119.25,158.3,1173.7,1020,762,345.4
29-01-2018,313,162.15,205.55,469.5,117.45,157.35,1180.55,1005.75,763,345.9
30-01-2018,313.5,160.05,203.95,480.9,117.05,156.6,1168,1000,764.9,341.8
31-01-2018,314.5,156.35,203.55,490.1,117.05,155.75,1149.1,984.05,765.9,340.9
01-02-2018,305.4,152.25,195.45,489,116.55,153,1144,991.85,801,343.05
02-02-2018,295.8,153,192.45,472.8,110.05,145.7,1145.3,991.25,770,332.5
05-02-2018,299,157.1,189.15,477.5,112.4,148,1139.9,992.3,762.45,332.75
06-02-2018,294.6,155.1,185.75,467.5,108.6,145.1,1111.4,952.3,751.8,323.6
07-02-2018,292.1,153.75,189.3,478.5,108.95,148.4,1108,938.25,746,313.2
08-02-2018,302.25,156.2,188.75,479.1,110.25,150.95,1133,942.3,755.9,315.65
09-02-2018,295.4,156.3,187.5,475.15,109.7,150.3,1112,965.5,750,316.4
12-02-2018,290.1,168.9,191.3,466.5,111.05,154.35,1101,940,746.05,315.2
14-02-2018,275.5,163.9,184.55,460,110.8,154.9,1091,934,743.9,312.65
15-02-2018,279.1,159.05,188.1,475.65,108.75,143.6,1113.5,941,748.95,324.2
16-02-2018,271.4,153.4,186.85,465.25,107.25,141.7,1124.65,933,742.5,320
19-02-2018,269.6,143.8,185.6,456.25,106.2,140.2,1134.2,914,726.3,321.55
20-02-2018,269.5,144.45,187.45,453.2,105.5,138.45,1135,908.05,709,329
21-02-2018,273.15,145.35,189.6,447.5,104.7,137.65,1145,945,708,329
22-02-2018,272.5,143.3,186.15,428.1,105.15,136.75,1159,945.05,721.6,328.7
23-02-2018,276.4,146.05,190.1,430.2,107.95,140.35,1154.4,953,719.9,338.7
26-02-2018,274.3,143.35,189.95,431.85,110.4,146.45,1139.95,948.95,735.4,342
27-02-2018,267.7,141.7,188.5,427.8,107.25,145,1147.7,952,738.9,341.5
28-02-2018,267.95,141.6,188,429.25,105.05,144.05,1169.85,941,727,330
01-03-2018,262.2,138.35,189.6,442.8,102.55,142.05,1160.25,942.3,731,322.5
05-03-2018,263.15,138.95,185.25,434,101.75,140.35,1159.7,937.9,737,315
06-03-2018,255.35,134.5,185.45,445.1,98.3,138.25,1146.25,931,719.9,312.45
07-03-2018,246.7,133.35,181.7,444.95,95.3,135.65,1147.8,950,707.8,310.15
08-03-2018,256.65,134.25,180.6,441.95,92.15,125.65,1158,949.5,724,307.65
09-03-2018,253.65,131.3,180.05,440.2,93.15,127.9,1164,945.3,726,305
12-03-2018,253.55,131.5,184,446.5,88.5,126.85,1184,967.5,737,316.55
13-03-2018,254.1,140.85,183.6,464.85,89.95,130.15,1182,960,732,319.65
14-03-2018,257.8,144.45,180.75,462.8,86.5,127.9,1181.1,965,728.7,319.05
15-03-2018,253.25,143.8,179.75,462,88,128.75,1181.9,957.15,734.35,316
16-03-2018,252.7,143.75,177,446.2,88.1,128.4,1170,962.2,742.15,310.75
19-03-2018,247.9,132.25,176.6,431,87.45,124.6,1148,923,741,308.5
20-03-2018,250,136.6,174.5,426,89.2,127.55,1164.55,940.85,741.2,288.15
21-03-2018,247.45,135.3,176,430.65,88.9,129.8,1166.2,940.1,747,285.9
22-03-2018,241.5,134.7,179,414,86.75,126.35,1156,927,731,290.45
23-03-2018,234.7,132.3,177.3,412.1,84.85,123.55,1165,956.6,733,275.4
26-03-2018,247.2,141.5,179.05,422.8,87,125.25,1155.6,966.6,745,285.5
27-03-2018,253.4,143.7,179.45,419.2,88.15,127,1152.1,970.05,744,287.5
28-03-2018,249.25,142.2,177.8,427.65,85.25,124.25,1140,966.3,737,279.05
02-04-2018,246,142.55,180.3,423.6,87,128.15,1136.7,983.7,747.5,282.1
03-04-2018,250.95,144.7,177.3,425.95,88,127.8,1139.4,968.5,770,283.5
04-04-2018,246.7,139.6,175,414.5,85.8,128.2,1122.7,959.25,758,271.9
05-04-2018,260.8,148.75,177.7,421.5,88.35,130.65,1146.05,962.95,771.8,289.55
06-04-2018,258.75,150.4,177,433.2,89.45,131.5,1127.55,952.55,771.45,284.9
09-04-2018,259.85,153.25,178.95,450.35,89.75,131.05,1111.45,953,786,281.45
10-04-2018,263.15,152.75,180,453.45,88.45,128.5,1114.65,951,779,284.8
11-04-2018,257.4,150.4,181.85,415.4,88.95,131.5,1124.5,969.35,787.5,297.15
12-04-2018,253.9,149,181.7,417,86.95,129,1164.05,1007,788,289.7
13-04-2018,250.8,150.25,182.45,406,86.3,127.35,1168,989.7,786.6,292
16-04-2018,249,149.75,181.5,407.7,87.65,129.4,1134.5,997.05,804,290.35
17-04-2018,248.15,147.9,180.65,409.95,87.55,128.65,1124.65,1011.9,810,288.1
18-04-2018,247,142.25,182.5,405.5,86.3,128,1125.95,999.35,798.7,292.1
19-04-2018,246.7,145.35,184.6,376.4,85.9,129.2,1133.4,1018.4,802.7,310.45
20-04-2018,241.85,145,182.3,371,85.25,128.9,1179.65,1057,798.15,309
23-04-2018,242.4,144.3,181,381.25,85.7,127.7,1185.95,1081,823.05,304.3
24-04-2018,240.7,141.7,182.7,383.2,85.2,127.3,1154.25,1062.2,839.7,298.65
25-04-2018,237.5,136.4,179.5,385.2,84.75,126.3,1155.95,1070,853,288.5
26-04-2018,233.25,138.15,180.25,387,83.3,125.7,1177.05,1074.65,853.5,290
27-04-2018,243.2,142.5,181.5,389,86.5,125.95,1184.65,1041.1,861.5,294.1
30-04-2018,246.05,148.7,180.7,386.55,88.1,127.5,1199.95,1053,873.05,298.45
02-05-2018,241.2,144.55,180.35,380.75,86.2,124.4,1192.1,1005.35,863.5,283.55
03-05-2018,241.6,142.8,180.75,377.5,85,123.5,1178,921,861.45,287
04-05-2018,241.75,140.2,180.25,379.7,84.1,122.6,1169.6,927.55,855.1,279.5
07-05-2018,247.2,143.3,184.15,385.7,86,123.75,1184,929.3,886.5,284.6
08-05-2018,250.3,145.4,182.9,393,84.4,122.55,1167.5,920,865.25,282.55
09-05-2018,248.1,144,182.65,385,84.8,122.55,1172,928.4,863.5,283.25
10-05-2018,247.1,138.55,187.85,390,83.3,119.7,1170,930.7,853.4,279.8
11-05-2018,250.8,142.4,187.7,399.9,82.85,119.05,1180.6,932.7,865.15,286.9
14-05-2018,252.4,142.65,187.3,404.5,79.3,115.7,1190.5,925,850.05,282.9
15-05-2018,246.55,139.3,188.9,405.95,76.15,114.95,1195.2,923.9,849.5,281.7
16-05-2018,242.9,131.9,185.4,397,76.4,114.65,1190.7,919.1,854.5,278.7
17-05-2018,242.55,129.45,188.5,390.5,76.65,116.05,1180,907.9,847.5,277.2
18-05-2018,239.6,126.45,185.15,387.65,74,112.4,1180,892,836.05,270.3
21-05-2018,244.5,129.3,185.85,393.9,73.05,109.8,1183.2,897,823,264.75
